PAIS,CANTIDAD,TRIMESTRE,AÑO,,,,,
Colombia,29,Enero-Marzo,2018,,,,,
Cuba,19,Enero-Marzo,2018,,,,,
Venezuela,15,Enero-Marzo,2018,,,,,
Italia,13,Enero-Marzo,2018,,,,,
España,13,Enero-Marzo,2018,,,,,
Haiti,10,Enero-Marzo,2018,,,,,
Francia,5,Enero-Marzo,2018,,,,,
Otros,32,Enero-Marzo,2018,,,,,
España,16,Abril-Junio,2018,,,,,
Italia,9,Abril-Junio,2018,,,,,
Cuba,8,Abril-Junio,2018,,,,,
Venezuela,5,Abril-Junio,2018,,,,,
Colombia,4,Abril-Junio,2018,,,,,
Haiti,4,Abril-Junio,2018,,,,,
Francia,3,Abril-Junio,2018,,,,,
Otros,35,Abril-Junio,2018,,,,,
Cuba,7,Julio-Septiembre,2018,,,,,
Italia,5,Julio-Septiembre,2018,,,,,
Estados Unidos,5,Julio-Septiembre,2018,,,,,
Colombia,4,Julio-Septiembre,2018,,,,,
Venezuela,3,Julio-Septiembre,2018,,,,,
Rusia,3,Julio-Septiembre,2018,,,,,
Otros,14,Julio-Septiembre,2018,,,,,
Cuba,10,Octubre-Diciembre,2018,,,,,
Estados Unidos,9,Octubre-Diciembre,2018,,,,,
Colombia,8,Octubre-Diciembre,2018,,,,,
Italia,8,Octubre-Diciembre,2018,,,,,
Francia,7,Octubre-Diciembre,2018,,,,,
España,6,Octubre-Diciembre,2018,,,,,
Venezuela,6,Octubre-Diciembre,2018,,,,,
Haiti,5,Octubre-Diciembre,2018,,,,,
Otros,25,Octubre-Diciembre,2018,,,,,
Colombia,23,Enero-Marzo,2019,,,,,
Venezuela,21,Enero-Marzo,2019,,,,,
España,14,Enero-Marzo,2019,,,,,
Cuba,12,Enero-Marzo,2019,,,,,
Francia,10,Enero-Marzo,2019,,,,,
Italia,9,Enero-Marzo,2019,,,,,
Estados Unidos,8,Enero-Marzo,2019,,,,,
Haiti,6,Enero-Marzo,2019,,,,,
Canada,6,Enero-Marzo,2019,,,,,
Ecuador,5,Enero-Marzo,2019,,,,,
Otros,36,Enero-Marzo,2019,,,,,
Estados Unidos,18,Abril-Junio,2019,,,,,
Cuba,15,Abril-Junio,2019,,,,,
Venezuela,13,Abril-Junio,2019,,,,,
España,9,Abril-Junio,2019,,,,,
Italia,8,Abril-Junio,2019,,,,,
Francia,5,Abril-Junio,2019,,,,,
Portugal,4,Abril-Junio,2019,,,,,
Colombia,3,Abril-Junio,2019,,,,,
Haiti,3,Abril-Junio,2019,,,,,
Otros,23,Abril-Junio,2019,,,,,
Venezuela,21,Julio-Septiembre,2019,,,,,
Cuba,15,Julio-Septiembre,2019,,,,,
España,10,Julio-Septiembre,2019,,,,,
Haiti,8,Julio-Septiembre,2019,,,,,
Estados Unidos,6,Julio-Septiembre,2019,,,,,
Italia,5,Julio-Septiembre,2019,,,,,
Colombia,5,Julio-Septiembre,2019,,,,,
Peru,3,Julio-Septiembre,2019,,,,,
Canada,3,Julio-Septiembre,2019,,,,,
Otros,15,Julio-Septiembre,2019,,,,,
Venezuela,15,Octubre-Diciembre,2019,,,,,
Cuba,14,Octubre-Diciembre,2019,,,,,
Haiti,10,Octubre-Diciembre,2019,,,,,
España,9,Octubre-Diciembre,2019,,,,,
Italia,7,Octubre-Diciembre,2019,,,,,
Francia,7,Octubre-Diciembre,2019,,,,,
Colombia,6,Octubre-Diciembre,2019,,,,,
Estados Unidos,4,Octubre-Diciembre,2019,,,,,
Peru,1,Octubre-Diciembre,2019,,,,,
Canada,1,Octubre-Diciembre,2019,,,,,
Otros,23,Octubre-Diciembre,2019,,,,,
Venezuela,18,Enero-Marzo,2020,,,,,
Colombia,13,Enero-Marzo,2020,,,,,
Cuba,10,Enero-Marzo,2020,,,,,
Italia,10,Enero-Marzo,2020,,,,,
Estados Unidos,7,Enero-Marzo,2020,,,,,
Francia,7,Enero-Marzo,2020,,,,,
España,6,Enero-Marzo,2020,,,,,
Rusia,6,Enero-Marzo,2020,,,,,
Ecuador,5,Enero-Marzo,2020,,,,,
Otros,15,Enero-Marzo,2020,,,,,
Venezuela,0,Abril-Junio,2020,,,,,
Colombia,0,Abril-Junio,2020,,,,,
Cuba,0,Abril-Junio,2020,,,,,
Italia,0,Abril-Junio,2020,,,,,
Estados Unidos,0,Abril-Junio,2020,,,,,
Francia,0,Abril-Junio,2020,,,,,
España,0,Abril-Junio,2020,,,,,
Rusia,0,Abril-Junio,2020,,,,,
Ecuador,0,Abril-Junio,2020,,,,,
Otros,0,Abril-Junio,2020,,,,,
Estados Unidos,6,Julio-Septiembre,2020,,,,,
Italia,6,Julio-Septiembre,2020,,,,,
España,4,Julio-Septiembre,2020,,,,,
Francia,3,Julio-Septiembre,2020,,,,,
Iraq,3,Julio-Septiembre,2020,,,,,
Venezuela,2,Julio-Septiembre,2020,,,,,
Colombia,2,Julio-Septiembre,2020,,,,,
Cuba,2,Julio-Septiembre,2020,,,,,
Otros,5,Julio-Septiembre,2020,,,,,
Cuba,5,Octubre-Diciembre,2020,,,,,
Venezuela,5,Octubre-Diciembre,2020,,,,,
Rusia,4,Octubre-Diciembre,2020,,,,,
Eslovenia,4,Octubre-Diciembre,2020,,,,,
España,3,Octubre-Diciembre,2020,,,,,
Puerto Rico,2,Octubre-Diciembre,2020,,,,,
Italia,1,Octubre-Diciembre,2020,,,,,
Argentina,1,Octubre-Diciembre,2020,,,,,
Canada,1,Octubre-Diciembre,2020,,,,,
Ecuador,1,Octubre-Diciembre,2020,,,,,
Otros,5,Octubre-Diciembre,2020,,,,,
Colombia,5,Enero-Marzo,2021,,,,,
Cuba,5,Enero-Marzo,2021,,,,,
Estados Unidos,4,Enero-Marzo,2021,,,,,
España,4,Enero-Marzo,2021,,,,,
Venezuela,4,Enero-Marzo,2021,,,,,
Italia,3,Enero-Marzo,2021,,,,,
Ecuador,2,Enero-Marzo,2021,,,,,
Peru,2,Enero-Marzo,2021,,,,,
Chile,1,Enero-Marzo,2021,,,,,
El Salvador,1,Enero-Marzo,2021,,,,,
Otros,0,Enero-Marzo,2021,,,,,
Mexico,3,Abril-Junio,2021,,,,,
Suiza,1,Abril-Junio,2021,,,,,
Haitê,2,Abril-Junio,2021,,,,,
Italia,5,Abril-Junio,2021,,,,,
Peru,1,Abril-Junio,2021,,,,,
Estados Unidos,3,Abril-Junio,2021,,,,,
Cuba,8,Abril-Junio,2021,,,,,
Francia,4,Abril-Junio,2021,,,,,
Colombia,4,Abril-Junio,2021,,,,,
Venezuela,5,Abril-Junio,2021,,,,,
Argentina,3,Abril-Junio,2021,,,,,
España,4,Abril-Junio,2021,,,,,
Belgica,1,Abril-Junio,2021,,,,,
Siria,1,Abril-Junio,2021,,,,,
Uzbekistan,1,Abril-Junio,2021,,,,,
Taiwan,1,Abril-Junio,2021,,,,,
Otros,0,Abril-Junio,2021,,,,,
Colombia,7,Julio-Septiembre,2021,,,,,
España,4,Julio-Septiembre,2021,,,,,
Venezuela,4,Julio-Septiembre,2021,,,,,
Francia,3,Julio-Septiembre,2021,,,,,
Cuba,3,Julio-Septiembre,2021,,,,,
Serbia,2,Julio-Septiembre,2021,,,,,
Suiza,1,Julio-Septiembre,2021,,,,,
Estados Unidos,1,Julio-Septiembre,2021,,,,,
Brasil,1,Julio-Septiembre,2021,,,,,
Venezuela,6,Octubre-Diciembre,2021,,,,,
Cuba,5,Octubre-Diciembre,2021,,,,,
Haiti,3,Octubre-Diciembre,2021,,,,,
Italia,2,Octubre-Diciembre,2021,,,,,
Estados Unidos,2,Octubre-Diciembre,2021,,,,,
Colombia,2,Octubre-Diciembre,2021,,,,,
Peru,2,Octubre-Diciembre,2021,,,,,
Guatemala,1,Octubre-Diciembre,2021,,,,,
Chile,1,Octubre-Diciembre,2021,,,,,
Polonia,1,Octubre-Diciembre,2021,,,,,
Rusia,1,Octubre-Diciembre,2021,,,,,
España,1,Octubre-Diciembre,2021,,,,,
Colombia,15,Enero-Marzo,2022,,,,,
Venezuela,11,Enero-Marzo,2022,,,,,
Cuba,9,Enero-Marzo,2022,,,,,
Haiti,4,Enero-Marzo,2022,,,,,
Ecuador,3,Enero-Marzo,2022,,,,,
Israel,2,Enero-Marzo,2022,,,,,
Brasil,2,Enero-Marzo,2022,,,,,
Francia,2,Enero-Marzo,2022,,,,,
Estados Unidos,2,Enero-Marzo,2022,,,,,
España,2,Enero-Marzo,2022,,,,,
El Salvador,1,Enero-Marzo,2022,,,,,
Italia,1,Enero-Marzo,2022,,,,,
Canada,1,Enero-Marzo,2022,,,,,
Chile,1,Enero-Marzo,2022,,,,,
Puerto Rico,1,Enero-Marzo,2022,,,,,
Holanda,1,Enero-Marzo,2022,,,,,
Venezuela,15,Abril-Junio,2022,,,,,
Colombia,7,Abril-Junio,2022,,,,,
Cuba,6,Abril-Junio,2022,,,,,
España,5,Abril-Junio,2022,,,,,
Italia,4,Abril-Junio,2022,,,,,
Haiti,3,Abril-Junio,2022,,,,,
Peru,3,Abril-Junio,2022,,,,,
Francia,2,Abril-Junio,2022,,,,,
Estados Unidos,2,Abril-Junio,2022,,,,,
Bolivia,2,Abril-Junio,2022,,,,,
Guatemala,2,Abril-Junio,2022,,,,,
Rusia,2,Abril-Junio,2022,,,,,
Canada,1,Abril-Junio,2022,,,,,
El Salvador,1,Abril-Junio,2022,,,,,
Pakistan,1,Abril-Junio,2022,,,,,
