Arrestados segun edad sexo y nacionalidad,Número de arrestos,Periodo,Año
Edad 1 a 17,179,Enero-Marzo,2017
Edad 18 a 25,1723,Enero-Marzo,2017
Edad 26 a 30,1119,Enero-Marzo,2017
Edad 31 a 35,937,Enero-Marzo,2017
Edad 36 a 40,670,Enero-Marzo,2017
Edad 41 a 45,467,Enero-Marzo,2017
Edad 46 a 50,286,Enero-Marzo,2017
Edad 51 a mas,225,Enero-Marzo,2017
Hombres,5495,Enero-Marzo,2017
Mujeres,111,Enero-Marzo,2017
Dominicanos,5738,Enero-Marzo,2017
Extranjeros,398,Enero-Marzo,2017
Edad 1 a 17,145,Abril-Junio,2017
Edad 18 a 25,1433,Abril-Junio,2017
Edad 26 a 30,1088,Abril-Junio,2017
Edad 31 a 35,896,Abril-Junio,2017
Edad 36 a 40,711,Abril-Junio,2017
Edad 41 a 45,474,Abril-Junio,2017
Edad 46 a 50,297,Abril-Junio,2017
Edad 51 a mas,274,Abril-Junio,2017
Hombres,5201,Abril-Junio,2017
Mujeres,117,Abril-Junio,2017
Dominicanos,5298,Abril-Junio,2017
Extranjeros,377,Abril-Junio,2017
Edad 1 a 17,108,Julio-Septiembre,2017
Edad 18 a 25,1405,Julio-Septiembre,2017
Edad 26 a 30,1027,Julio-Septiembre,2017
Edad 31 a 35,833,Julio-Septiembre,2017
Edad 36 a 40,597,Julio-Septiembre,2017
Edad 41 a 45,397,Julio-Septiembre,2017
Edad 46 a 50,257,Julio-Septiembre,2017
Edad 51 a mas,194,Julio-Septiembre,2017
Hombres,4747,Julio-Septiembre,2017
Mujeres,73,Julio-Septiembre,2017
Dominicanos,4808,Julio-Septiembre,2017
Extranjeros,502,Julio-Septiembre,2017
Edad 1 a 17,125,Octubre-Diciembre,2017
Edad 18 a 25,1263,Octubre-Diciembre,2017
Edad 26 a 30,943,Octubre-Diciembre,2017
Edad 31 a 35,698,Octubre-Diciembre,2017
Edad 36 a 40,546,Octubre-Diciembre,2017
Edad 41 a 45,358,Octubre-Diciembre,2017
Edad 46 a 50,226,Octubre-Diciembre,2017
Edad 51 a mas,167,Octubre-Diciembre,2017
Hombres,4207,Octubre-Diciembre,2017
Mujeres,69,Octubre-Diciembre,2017
Dominicanos,4129,Octubre-Diciembre,2017
Extranjeros,486,Octubre-Diciembre,2017
Edad 1 a 17,110,Enero-Marzo,2018
Edad 18 a 25,1278,Enero-Marzo,2018
Edad 26 a 30,548,Enero-Marzo,2018
Edad 31 a 35,756,Enero-Marzo,2018
Edad 36 a 40,591,Enero-Marzo,2018
Edad 41 a 45,240,Enero-Marzo,2018
Edad 46 a 50,192,Enero-Marzo,2018
Edad 51 a mas,200,Enero-Marzo,2018
Hombres,3865,Enero-Marzo,2018
Mujeres,50,Enero-Marzo,2018
Dominicanos,4276,Enero-Marzo,2018
Extranjeros,238,Enero-Marzo,2018
Edad 1 a 17,80,Abril-Junio,2018
Edad 18 a 25,1092,Abril-Junio,2018
Edad 26 a 30,875,Abril-Junio,2018
Edad 31 a 35,548,Abril-Junio,2018
Edad 36 a 40,646,Abril-Junio,2018
Edad 41 a 45,484,Abril-Junio,2018
Edad 46 a 50,233,Abril-Junio,2018
Edad 51 a mas,190,Abril-Junio,2018
Hombres,4101,Abril-Junio,2018
Mujeres,47,Abril-Junio,2018
Dominicanos,4392,Abril-Junio,2018
Extranjeros,228,Abril-Junio,2018
Edad 1 a 17,140,Julio-Septiembre,2018
Edad 18 a 25,1340,Julio-Septiembre,2018
Edad 26 a 30,975,Julio-Septiembre,2018
Edad 31 a 35,893,Julio-Septiembre,2018
Edad 36 a 40,497,Julio-Septiembre,2018
Edad 41 a 45,251,Julio-Septiembre,2018
Edad 46 a 50,279,Julio-Septiembre,2018
Edad 51 a mas,184,Julio-Septiembre,2018
Hombres,4497,Julio-Septiembre,2018
Mujeres,62,Julio-Septiembre,2018
Dominicanos,4033,Julio-Septiembre,2018
Extranjeros,209,Julio-Septiembre,2018
Edad 1 a 17,110,Octubre-Diciembre,2018
Edad 18 a 25,1385,Octubre-Diciembre,2018
Edad 26 a 30,987,Octubre-Diciembre,2018
Edad 31 a 35,820,Octubre-Diciembre,2018
Edad 36 a 40,631,Octubre-Diciembre,2018
Edad 41 a 45,540,Octubre-Diciembre,2018
Edad 46 a 50,356,Octubre-Diciembre,2018
Edad 51 a mas,418,Octubre-Diciembre,2018
Hombres,5194,Octubre-Diembre,2018
Mujeres,53,Octubre-Diembre,2018
Dominicanos,3656,Octubre-Diciembre,2018
Extranjeros,201,Octubre-Diciembre,2018
Edad 1 a 17,125,Enero-Marzo,2019
Edad 18 a 25,1493,Enero-Marzo,2019
Edad 26 a 30,955,Enero-Marzo,2019
Edad 31 a 35,759,Enero-Marzo,2019
Edad 36 a 40,675,Enero-Marzo,2019
Edad 41 a 45,480,Enero-Marzo,2019
Edad 46 a 50,288,Enero-Marzo,2019
Edad 51 a mas,870,Enero-Marzo,2019
Hombres,5565,Enero-Marzo,2019
Mujeres,116,Enero-Marzo,2019
Dominicanos,5347,Enero-Marzo,2019
Extranjeros,334,Enero-Marzo,2019
Edad 1 a 17,142,Abril-Junio,2019
Edad 18 a 25,1381,Abril-Junio,2019
Edad 26 a 30,892,Abril-Junio,2019
